vi,Fi,tau,vu,Fu,s_h,days,K_0,I_a_initial,U_a_initial,ai,bi,ci,eti,au,bu,cu,etu,release_start
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,3150,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,28
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,6300,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,28
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,39000,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,28
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,4618.347,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,21
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,9236.694,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,21
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,41565.123,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,21
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,1914,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,50
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,4176,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,50
0.8431209,0.22865,19,0.85,0.269,1,547.5,104400,3500,35148,0.2146,0.3,0.9702003,9.506897,0.2146,1,0.9702003,9.506897,50
